time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
496254722,-51,-56,-64,-40
496274758,-50,-55,-67,-40
496294731,-50,-55,-67,-40
496314793,-53,-57,-62,-40
496334726,-55,-61,-59,-40
496356652,-61,-67,-59,-40
496374719,-64,-69,-57,-41
496394748,-59,-64,-55,-41
496414708,-57,-61,-55,-39
496434767,-56,-61,-56,-40
496454725,-57,-61,-56,-40
496474749,-59,-63,-58,-40
496494729,-61,-66,-60,-41
500964672,-46,-50,-54,-41
500978062,-45,-50,-53,-41
500998030,-46,-50,-54,-40
501018031,-45,-49,-55,-41
501040472,-46,-50,-55,-40
501058503,-45,-51,-54,-41
501078447,-47,-52,-56,-41
501098039,-50,-54,-56,-39
501118204,-53,-58,-57,-40
501138067,-54,-58,-56,-41
501158038,-53,-57,-55,-40
501180443,-52,-55,-54,-41
501198044,-52,-57,-54,-41
501220631,-56,-60,-56,-41
501238030,-57,-61,-55,-40
501258038,-55,-60,-55,-40
501278034,-55,-58,-56,-39
501298069,-55,-58,-56,-40
501318044,-54,-60,-55,-41
501338025,-55,-60,-56,-40
501359454,-55,-59,-55,-40
501378086,-53,-57,-56,-40
501398043,-51,-55,-55,-40
501418086,-50,-55,-55,-40
501438073,-49,-54,-55,-41
501460985,-47,-51,-55,-40
501478373,-48,-50,-55,-40
501499522,-45,-50,-56,-40
501520013,-44,-50,-56,-39
501538038,-44,-49,-57,-41
501558022,-44,-49,-58,-40
501579685,-46,-50,-60,-40
501599087,-46,-49,-61,-40
501618448,-47,-51,-62,-40
501638045,-48,-53,-62,-41
501658041,-49,-53,-63,-41
501678023,-50,-53,-62,-40
501698076,-49,-54,-61,-40
501720832,-49,-53,-61,-41
501738024,-49,-52,-61,-41
501758044,-49,-53,-61,-39
501778032,-49,-51,-62,-41
501798027,-48,-52,-62,-41
501818039,-48,-51,-64,-39
501838206,-48,-51,-65,-40
501858185,-47,-52,-68,-39
501878047,-48,-52,-71,-41
501899284,-48,-50,-70,-41
501918012,-49,-52,-67,-41
501938084,-48,-52,-65,-41
501958031,-48,-51,-62,-40
501978046,-46,-50,-60,-41
501998021,-47,-51,-58,-41
502018048,-47,-51,-56,-40
502041010,-49,-53,-56,-40
502058034,-49,-53,-54,-41
502078043,-51,-55,-54,-40
502098041,-52,-57,-53,-41
502119403,-52,-56,-54,-41
502144007,-50,-54,-55,-41
502158016,-49,-53,-54,-41
502181179,-48,-51,-56,-40
502198066,-46,-50,-57,-41
502220633,-46,-48,-60,-40
502238007,-44,-49,-60,-39
502258029,-46,-49,-62,-40
502278034,-46,-49,-62,-40
502298022,-48,-51,-63,-39
502318029,-47,-51,-62,-39
502338024,-46,-51,-62,-40
502361655,-47,-54,-62,-40
502380569,-50,-53,-62,-39
502398269,-50,-54,-61,-40
502418099,-49,-54,-60,-40
502438031,-49,-54,-60,-41
502458064,-50,-53,-60,-41
