time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
504015827,-32,-40,-47,-35
504035809,-33,-40,-50,-34
504056624,-33,-40,-53,-34
504075828,-33,-40,-51,-34
504096754,-34,-41,-48,-35
504118566,-34,-42,-48,-35
504135935,-34,-42,-48,-34
504156204,-35,-42,-49,-36
504175860,-36,-44,-50,-35
504195831,-35,-42,-51,-34
504215811,-35,-43,-51,-33
504237900,-36,-44,-53,-34
504257312,-38,-45,-53,-35
504275959,-37,-44,-52,-33
504295828,-36,-45,-53,-34
504315810,-39,-45,-52,-34
504335818,-39,-46,-51,-34
504355829,-40,-47,-51,-34
504375816,-39,-45,-52,-33
504395840,-40,-46,-50,-33
504415802,-40,-47,-52,-35
504435904,-40,-45,-50,-34
504455799,-37,-46,-52,-35
504475811,-40,-45,-52,-33
504497176,-38,-46,-51,-35
504515848,-39,-46,-50,-34
504538393,-39,-46,-50,-35
504557950,-39,-45,-50,-34
504575802,-38,-47,-50,-34
504599447,-39,-46,-51,-34
504616195,-37,-45,-50,-35
504635825,-39,-45,-50,-34
504655871,-39,-45,-50,-34
504675806,-39,-44,-50,-34
504695884,-40,-45,-51,-34
504715974,-39,-45,-51,-35
504735791,-39,-46,-52,-35
504757839,-38,-45,-51,-34
504775824,-37,-44,-51,-34
504795814,-36,-45,-51,-34
504818347,-39,-44,-51,-35
504835806,-38,-44,-52,-34
504855786,-38,-45,-52,-35
504875899,-38,-45,-52,-34
504895789,-38,-45,-52,-34
504915886,-38,-45,-52,-34
504935852,-39,-44,-52,-35
504955991,-36,-44,-52,-33
504975801,-39,-46,-53,-35
504996295,-39,-46,-55,-34
505016515,-38,-47,-55,-35
505035967,-40,-45,-56,-34
505057102,-40,-45,-55,-34
505077301,-39,-47,-56,-35
505095783,-40,-44,-56,-34
505115799,-39,-46,-56,-34
505136722,-40,-47,-57,-33
505155832,-40,-46,-56,-34
505175816,-40,-46,-56,-35
505195994,-41,-47,-56,-34
505217972,-40,-47,-56,-33
505235826,-40,-46,-55,-34
505256183,-40,-46,-56,-34
505275807,-40,-45,-55,-34
505295794,-40,-46,-56,-33
505315849,-40,-46,-56,-32
505336533,-40,-45,-55,-35
505355968,-37,-45,-55,-34
505375787,-40,-46,-55,-32
505396053,-40,-45,-54,-34
505416068,-40,-46,-53,-35
505436455,-40,-47,-54,-35
505456350,-39,-46,-52,-34
505475809,-38,-47,-53,-33
505495856,-37,-46,-53,-35
505518667,-38,-45,-53,-35
505535838,-40,-46,-53,-35
505556182,-40,-45,-52,-34
505575889,-38,-47,-52,-34
505595825,-40,-46,-52,-36
505615789,-40,-46,-52,-33
505637584,-40,-45,-53,-32
505655910,-39,-46,-52,-35
505678070,-39,-46,-52,-34
505695779,-40,-47,-52,-33
505715889,-40,-45,-52,-33
505740800,-38,-45,-53,-35
505756123,-39,-47,-52,-33
505775772,-39,-47,-53,-35
505796722,-40,-47,-52,-33
505815784,-40,-47,-52,-35
505836585,-38,-47,-53,-34
505855974,-41,-47,-53,-35
505876040,-38,-47,-53,-33
505896372,-41,-47,-53,-34
505915815,-40,-46,-54,-33
505935780,-40,-47,-54,-35
505955800,-41,-47,-54,-33
505975909,-41,-48,-55,-35
505995796,-40,-48,-56,-34
506015800,-41,-47,-56,-33
506036583,-42,-47,-57,-36
506060531,-38,-47,-60,-33
506075799,-40,-48,-61,-34
506095777,-41,-47,-64,-34
